district_id,total_none,total_0,total_5,total_10,total_15,total_20,total_25,total_30,total_35,total_40,total_45,total_50,total_55,total_60,total_65,total_70,total_75,total_80,total_85,total_90,total_95,total_100,male_none,male_0,male_5,male_10,male_15,male_20,male_25,male_30,male_35,male_40,male_45,male_50,male_55,male_60,male_65,male_70,male_75,male_80,male_85,male_90,male_95,male_100,female_none,female_0,female_5,female_10,female_15,female_20,female_25,female_30,female_35,female_40,female_45,female_50,female_55,female_60,female_65,female_70,female_75,female_80,female_85,female_90,female_95,female_100
1,1481,133246,128253,118673,81849,70692,68046,57150,49033,41741,30511,24144,16163,17607,9871,10217,3932,4269,993,1113,304,1066,910,71220,67309,62428,41873,38505,41511,33789,27287,24356,16556,13621,7962,9711,5053,5675,2029,2410,546,665,167,607,571,62026,60944,56245,39976,32187,26535,23361,21746,17385,13955,10523,8201,7896,4818,4542,1903,1859,447,448,137,459
2,611,107145,106895,94819,75536,64695,54133,46538,44226,38688,31481,24071,17542,17521,10596,9795,3941,3353,834,729,168,428,390,58630,57263,49723,38254,33951,28788,24506,22700,20704,16426,13209,8490,9644,5247,5257,1940,1761,420,389,98,251,221,48515,49632,45096,37282,30744,25345,22032,21526,17984,15055,10862,9052,7877,5349,4538,2001,1592,414,340,70,177
3,250,8257,9019,10053,10245,14428,18701,14480,11230,9082,6723,5145,4135,3606,2517,2245,1437,1040,427,165,63,239,185,4189,4680,5188,5179,9031,13083,9701,7011,5680,3985,2688,2159,1870,1351,1165,766,554,224,90,37,155,65,4068,4339,4865,5066,5397,5618,4779,4219,3402,2738,2457,1976,1736,1166,1080,671,486,203,75,26,84
4,221,13391,14914,14554,13918,15109,15646,11984,9455,7558,6564,4871,3186,3365,2085,1985,900,621,234,70,34,137,180,6719,7618,7630,6975,8212,9613,7521,5609,4452,3615,2660,1777,1779,1153,1111,525,372,135,46,19,64,41,6672,7296,6924,6943,6897,6033,4463,3846,3106,2949,2211,1409,1586,932,874,375,249,99,24,15,73
5,704,58998,59273,59990,46812,40067,39839,34237,29260,25675,20646,16817,11088,11631,6523,6797,2792,3154,890,972,292,378,428,31245,30959,31410,24654,20913,21838,18423,15092,13543,10462,8974,5531,6312,3497,3877,1487,1750,525,557,192,230,276,27753,28314,28580,22158,19154,18001,15814,14168,12132,10184,7843,5557,5319,3026,2920,1305,1404,365,415,100,148
6,1028,74716,77271,75860,62417,57680,56959,48683,41004,34551,28927,23057,15006,14634,9391,9438,4043,4177,1363,1291,367,552,672,40016,41017,39974,33566,30997,31848,26991,22135,18804,15111,12613,7712,7645,4664,5164,2165,2271,751,728,207,300,356,34700,36254,35886,28851,26683,25111,21692,18869,15747,13816,10444,7294,6989,4727,4274,1878,1906,612,563,160,252
7,764,57900,63852,66061,60347,57528,52176,47710,43453,36696,32264,25492,19091,17149,11806,10195,5833,4636,1720,1138,391,233,474,31551,35138,35924,32775,29538,26242,24644,22467,19270,17072,13759,10115,8853,6113,5109,2968,2318,886,574,201,118,290,26349,28714,30137,27572,27990,25934,23066,20986,17426,15192,11733,8976,8296,5693,5086,2865,2318,834,564,190,115
8,1343,115293,115240,117753,106269,94755,87214,72014,66603,56380,44662,34223,25077,25169,15682,14600,5949,5595,1518,1284,335,1081,878,62408,60171,60849,53309,49821,48725,39208,35547,31104,23651,18859,12314,13783,7808,7986,2957,3042,782,739,194,598,465,52885,55069,56904,52960,44934,38489,32806,31056,25276,21011,15364,12763,11386,7874,6614,2992,2553,736,545,141,483
9,587,42408,46506,49106,44926,37627,31805,26520,25159,21663,17123,12935,9569,9498,5923,5257,2176,1852,505,455,129,503,401,22541,24163,25767,22798,19637,17158,14672,13179,12215,8997,7184,4704,5243,2962,3021,1132,1042,245,260,79,280,186,19867,22343,23339,22128,17990,14647,11848,11980,9448,8126,5751,4865,4255,2961,2236,1044,810,260,195,50,223
10,1700,112881,107816,112683,117071,121447,121340,101850,97966,82159,69586,51762,40659,36110,22967,18635,9160,6244,2218,1138,334,1103,1138,60853,56670,58784,59947,63034,63419,52880,51091,45556,37631,28528,20432,19806,11598,9729,4553,3081,1126,556,178,534,562,52028,51146,53899,57124,58413,57921,48970,46875,36603,31955,23234,20227,16304,11369,8906,4607,3163,1092,582,156,569
11,425,34943,37090,36979,32094,27794,25265,20356,18736,15420,12433,9295,6733,6866,4434,4063,1600,1555,452,357,136,420,310,19037,19326,19495,16594,14653,14104,11032,9952,8551,6469,5319,3211,3862,2114,2307,797,864,220,209,67,227,115,15906,17764,17484,15500,13141,11161,9324,8784,6869,5964,3976,3522,3004,2320,1756,803,691,232,148,69,193
