district_id,name,state_id,state,area,towns,villages_inhabited,villages_uninhabited
1,Kupwara,1,Jammu & Kashmir,2379.00,10,353,9
2,Badgam,1,Jammu & Kashmir,1361.00,9,462,12
3,Leh (ladakh),1,Jammu & Kashmir,45110.00,3,111,1
4,Kargil,1,Jammu & Kashmir,14036.00,1,125,2
5,Punch,1,Jammu & Kashmir,1674.00,3,170,8
6,Rajouri,1,Jammu & Kashmir,2630.00,4,375,10
7,Kathua,1,Jammu & Kashmir,2502.00,6,496,16
8,Baramula,1,Jammu & Kashmir,4243.00,7,509,9
9,Bandipore,1,Jammu & Kashmir,345.00,3,119,3
10,Srinagar,1,Jammu & Kashmir,1979.00,5,11,0
11,Ganderbal,1,Jammu & Kashmir,259.00,3,113,2
12,Pulwama,1,Jammu & Kashmir,1086.00,5,319,10
13,Shupiyan,1,Jammu & Kashmir,312.00,1,226,3
14,Anantnag,1,Jammu & Kashmir,3574.00,12,335,7
15,Kulgam,1,Jammu & Kashmir,410.00,7,226,5
16,Doda,1,Jammu & Kashmir,8912.00,2,402,4
17,Ramban,1,Jammu & Kashmir,1329.00,3,127,2
18,Kishtwar,1,Jammu & Kashmir,1644.00,1,155,2
19,Udhampur,1,Jammu & Kashmir,2637.00,6,325,6
20,Reasi,1,Jammu & Kashmir,1719.00,5,253,2
21,Jammu,1,Jammu & Kashmir,2342.00,20,780,72
22,Samba,1,Jammu & Kashmir,904.00,6,345,31
23,Chamba,2,Himachal Pradesh,6522.00,5,1110,481
24,Kangra,2,Himachal Pradesh,5739.00,9,3617,252
25,Lahul & Spiti,2,Himachal Pradesh,13841.00,0,280,241
26,Kullu,2,Himachal Pradesh,5503.00,5,314,12
27,Mandi,2,Himachal Pradesh,3950.00,5,2850,488
28,Hamirpur,2,Himachal Pradesh,1118.00,4,1671,54
29,Una,2,Himachal Pradesh,1540.00,5,790,58
30,Bilaspur,2,Himachal Pradesh,1167.00,4,953,108
31,Solan,2,Himachal Pradesh,1936.00,8,2383,161
32,Sirmaur,2,Himachal Pradesh,2825.00,3,968,8
33,Shimla,2,Himachal Pradesh,5131.00,11,2705,526
34,Kinnaur,2,Himachal Pradesh,6401.00,0,241,419
35,Gurdaspur,3,Punjab,3551.00,27,1515,80
36,Kapurthala,3,Punjab,1633.00,9,612,76
37,Jalandhar,3,Punjab,2624.00,21,922,19
38,Hoshiarpur,3,Punjab,3386.00,13,1385,31
39,Shahid Bhagat Singh Nagar,3,Punjab,1282.00,8,458,10
40,Fatehgarh Sahib,3,Punjab,1180.00,5,442,4
41,Ludhiana,3,Punjab,3578.00,20,885,22
42,Moga,3,Punjab,2242.00,5,319,6
43,Firozpur,3,Punjab,5305.00,13,955,45
44,Muktsar,3,Punjab,2593.00,4,233,1
45,Faridkot,3,Punjab,1458.00,3,163,8
46,Bathinda,3,Punjab,3353.00,12,279,2
47,Mansa,3,Punjab,2198.00,5,238,2
48,Patiala,3,Punjab,3325.00,12,895,17
49,Amritsar,3,Punjab,2683.00,15,703,36
50,Tarn Taran,3,Punjab,2414.00,4,479,10
51,Rupnagar,3,Punjab,1356.00,8,591,20
