district_id,illiterate,only_literate,below_primary,primary,middle,secondary,intermediate,non_tech_diploma,tech_diploma,graduate,unknown
400,261094,11241,90256,113424,85994,38533,30353,55,1197,24317,2453
401,1171945,30081,295178,340854,271249,102805,80020,172,1636,59793,6153
402,356254,17071,111054,134739,120270,51014,35731,47,317,23953,1219
403,542345,35689,235430,265410,193081,96426,61364,284,2653,59177,2125
404,457881,15720,165333,191673,160901,84680,62484,292,5362,60090,2224
405,600073,20858,241712,248105,220132,132809,96857,178,3051,54254,1678
406,1067069,29749,405294,420231,314914,171168,113361,331,3860,134361,3291
407,408359,7243,139150,126734,74709,29084,20194,52,307,15074,1620
408,528754,22364,231168,283958,261638,92448,62393,216,1288,49359,3547
409,1040494,53481,491509,601158,447499,287983,209306,983,18495,187758,5206
410,1434123,48117,598825,705927,520800,301224,213354,840,8940,225746,5976
411,394791,17658,156192,194377,133552,63926,40740,82,651,29075,1710
412,252948,13691,133551,161357,112166,55616,40486,104,1147,27175,1540
413,292899,21006,112736,128533,96238,41711,34898,44,469,18868,1539
414,762336,20689,180566,183687,134748,50531,44781,87,948,31601,3225
415,83199,2265,17764,15610,9654,4365,4269,5,39,2581,69
416,342401,7258,56133,51926,30580,16350,14868,81,1174,11707,1160
417,168311,3584,25518,24441,14279,7814,6927,10,56,3964,326
132,1389274,92394,416285,552450,409600,249199,166934,8812,4157,169729,7548
133,1726173,82876,493316,615159,485765,319218,212344,15422,4871,187663,705
134,1547320,130118,405299,574719,464924,240306,154276,4421,3617,151021,6692
135,2508158,153847,488574,555274,439626,256153,175677,3801,2693,187619,584
136,1292153,54501,256057,291596,197666,105378,64305,1915,1034,66636,4578
137,857111,39878,214359,262786,207975,112691,70364,975,1408,70025,2649
138,1302201,132668,327788,446200,404991,315197,227854,4242,4117,271520,6911
139,505078,44584,135187,168248,157740,128244,93003,1840,1170,66144,1810
140,1558381,174130,461265,603794,557996,483046,332211,4851,9863,487935,8173
141,525168,70452,156384,192949,188404,183143,117580,1389,7059,201777,3810
142,1467515,63107,370818,487399,445626,304972,196092,1087,4696,153552,4307
143,1581322,86100,379826,466731,424523,323183,208623,2263,7204,186079,8035
144,622136,25195,163699,218657,204849,149821,104297,330,2378,71164,2182
145,1039438,99046,263346,323751,284706,235252,171447,639,4859,124482,218
146,1738287,166435,433128,594334,508501,412931,269289,971,4036,278138,12747
147,976350,67725,262008,341912,324961,247998,151437,337,1325,118754,5349
148,664644,45765,198384,265277,284199,197707,125196,130,951,83070,3206
149,2134419,88626,371148,458177,310771,144256,90083,355,869,73468,9724
150,2256600,168586,431462,551473,446186,230625,160565,2095,3051,185647,12069
151,969912,35097,222577,316838,250505,107520,63912,310,529,60133,3674
152,1515608,65377,312838,432441,335331,153149,95531,437,921,87937,6968
153,1987199,144398,451925,609537,434349,179513,104535,3891,1034,104384,478
154,2200259,101652,529696,696917,507155,191683,120295,1819,1070,121418,12028
155,1871244,95540,461276,661730,517325,219286,139132,958,725,118192,7437
156,1334783,100196,327858,476083,414049,209790,127108,490,582,110773,6655
157,1462578,112485,411570,578304,531050,421190,370666,6797,14726,665324,15148
158,1439716,69471,372372,513738,458793,237834,168963,1181,1895,133101,8495
159,792527,55904,191289,262041,244239,156088,98553,371,772,80557,2863
160,639529,26175,179167,241567,249870,149474,97546,603,473,69847,2365
161,519807,38477,155530,228708,266185,163205,109542,123,1029,95866,3338
162,448709,20815,138252,197770,240633,146531,101244,182,752,82709,1948
