district_id,adi,afghani,anal,angami,ao,arabic,assamese,balti,bengali,bhili,bhotia,bhumij,bishnupuriya,bodo,chakhesang,chakru,chang,coorgi,deori,dimasa,dogri,english,gadaba,gangte,garo,gondi,gujarati,halabi,halam,hindi,hmar,ho,jatapu,juang,kabui,kannada,karbi,kashmiri,khandeshi,kharia,khasi,khezha,khiemnungan,khond,kinnauri,kisan,koch,koda,kolami,kom,konda,konkani,konyak,korku,korwa,koya,kui,kuki,kurukh,ladakhi,lahauli,lahnda,lakher,lalung,lepcha,liangmei,limbu,lotha,lushai,maithili,malayalam,malto,manipuri,mao,maram,marathi,maring,miri,mishmi,mogh,monpa,munda,mundari,nepali,nicobarese,nissi,nocte,odia,others,paite,parji,pawi,phom,pochury,punjabi,rabha,rai,rengma,sangtam,sanskrit,santali,savara,sema,sherpa,shina,sindhi,tamang,tamil,tangkhul,tangsa,telugu,thado,tibetan,tripuri,tulu,urdu,vaiphei,wancho,yimchungre,zeliang,zemi,zou
1,0,1691,2,0,1,0,621,0,1750,0,4,0,1,5,0,0,0,1,0,1,976,29,0,1,7,0,529,0,0,227938,0,4,0,0,0,752,0,619592,1110,0,0,0,1,0,33,0,0,0,0,0,0,3,0,0,0,0,0,3,8,15,0,0,5,0,0,1,0,1,5,22,851,0,81,3,2,2479,0,0,0,0,2,1,2,1141,0,0,0,772,311,0,0,0,0,0,5887,0,0,0,0,0,11,0,0,0,3,0,0,1464,1,0,1222,0,8,21,0,979,1,0,0,0,0,0
2,0,25,1,0,0,0,357,22,635,1,0,0,0,11,0,0,0,1,0,0,592,218,0,0,2,0,123,0,1,30117,1,0,0,0,0,154,0,714431,1,0,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,32,0,0,0,0,0,0,0,0,90,6,325,0,145,0,0,750,0,0,0,0,0,0,0,35,0,0,0,425,120,1,0,0,0,0,3759,0,0,0,0,0,0,0,0,0,54,0,0,487,0,0,421,0,24,17,0,347,0,0,0,0,0,0
3,1,0,0,0,0,1,281,5269,808,4,90875,1,2,3,0,0,0,0,0,0,896,26,0,0,0,0,302,0,0,17866,0,0,0,0,1,367,0,559,31,0,0,0,0,0,6,0,0,0,0,0,0,3,1,0,0,0,0,2,0,4416,4,0,0,0,2,0,0,0,8,19,607,4,60,1,0,1351,0,0,1,0,2,0,0,1350,0,1,0,449,38,0,0,0,0,0,1358,0,0,0,0,0,0,0,0,21,2,1,18,725,0,0,793,2,4788,2,0,159,0,0,0,0,0,0
4,0,18,0,0,0,0,393,4556,338,0,14311,0,3,1,0,0,0,0,0,0,135,3,0,2,1,0,145,0,1,7814,4,0,0,0,0,106,0,2552,1,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67,1,1224,0,0,0,0,0,0,0,0,119,59,190,0,91,1,0,652,0,0,0,0,9,1,0,167,0,1,0,146,82,2,0,0,0,1,1411,0,0,0,0,0,0,0,0,0,11796,0,0,284,1,0,219,0,93786,17,0,72,3,0,0,0,0,1
5,0,1,0,0,1,0,120,0,511,2,1,0,0,9,0,0,0,1,0,0,443,21,0,0,1,4,309,0,0,435840,0,9,0,0,0,412,0,25732,5892,4,2,1,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,199,1,0,108,0,0,0,0,0,0,0,5,494,0,13,0,0,1546,0,0,0,0,0,9,18,959,1,0,1,220,120,0,0,0,0,0,2003,0,0,0,0,0,25,0,0,0,1,0,0,722,0,0,594,1,27,2,0,441,0,0,0,0,0,2
6,0,0,1,0,0,84,318,0,1042,2,0,0,0,13,0,0,0,0,0,0,10875,93,0,0,0,0,1063,0,0,597677,0,0,0,0,0,714,0,14347,4374,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,23,17,0,102,0,0,0,0,0,0,0,31,1003,0,58,0,0,1290,0,0,0,0,0,0,5,515,0,0,0,656,26,0,0,0,0,0,4087,0,0,0,0,0,6,1,0,0,0,1,0,1382,0,0,1304,0,6,8,2,1278,1,0,0,0,0,0
7,0,0,0,0,0,0,75,0,407,8,0,0,0,0,0,0,0,0,0,0,505013,15,0,0,0,0,1132,0,0,75739,0,0,0,0,0,122,0,13479,395,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,50,0,0,0,0,0,0,0,57,214,0,8,0,0,300,0,0,0,0,0,4,0,191,0,0,0,284,6482,0,0,0,0,0,11471,0,0,0,0,0,1,0,0,0,0,0,0,206,0,0,175,0,1,0,0,600,0,0,0,0,0,0
8,2,294,0,0,0,0,966,14,1814,1,1,0,0,78,0,0,0,2,1,0,1527,48,0,0,6,0,368,0,0,151119,1,0,0,0,0,471,0,827677,2710,0,8,2,0,0,16,0,0,0,0,0,0,6,1,0,0,0,0,9,6,147,0,0,1,0,0,0,0,0,8,14,781,0,90,0,0,1778,0,0,0,0,0,2,3,1047,0,2,0,517,193,0,0,0,0,0,12682,1,0,0,0,0,12,0,1,0,6,1,0,1068,0,0,1048,0,0,16,2,1471,0,0,0,0,0,0
9,0,0,0,0,0,1,134,98,535,0,3,0,1,3,0,0,0,0,0,0,141,10,0,0,0,11,122,0,0,47477,0,0,0,0,0,88,0,323161,969,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,155,0,17,0,0,924,0,0,0,0,0,3,0,577,0,0,0,148,20,0,0,0,0,0,620,0,0,0,0,0,4,0,0,0,16407,0,0,109,0,0,141,0,0,5,0,320,0,0,0,0,0,0
10,0,126,0,0,3,6,1172,350,2835,7,45,0,1,89,0,0,0,0,0,1,1917,195,0,0,1,2,663,0,1,37199,0,6,0,0,0,669,1,1164293,1590,3,3,0,0,0,17,1,0,0,0,0,0,12,0,1,0,0,0,9,20,1071,3,10,0,0,0,0,0,3,11,42,1130,0,435,2,0,2213,0,1,0,0,0,8,3,292,0,1,1,1282,113,2,0,0,0,0,10410,0,0,1,0,0,6,0,0,0,191,1,5,1793,0,0,1377,7,1737,21,1,3417,0,0,0,0,0,1
11,1,10367,0,0,0,0,29,1994,220,35,11,0,0,1,0,0,0,1,0,0,181,4,0,0,0,0,84,0,0,67850,0,0,0,0,0,40,0,206032,4544,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,82,0,5,0,0,256,0,0,0,0,0,27,2,21,0,0,0,110,973,0,0,0,0,0,428,0,0,0,0,0,1,0,0,0,2917,0,0,165,0,0,125,0,2,1,200,666,0,0,0,0,0,0
12,0,72,0,0,0,17,673,0,988,4,0,0,0,13,0,0,0,1,0,0,343,10,0,0,0,0,200,0,0,33670,1,0,0,0,0,439,0,511687,981,0,14,1,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,85,17,332,0,195,0,0,665,0,0,0,0,2,0,4,40,0,0,0,437,42,0,0,0,0,0,7728,0,0,0,0,0,3,0,4,0,4,1,0,643,0,0,610,0,2,15,0,450,0,1,0,0,0,1
13,0,506,0,0,0,0,45,0,191,0,0,0,0,0,0,0,0,0,0,0,243,2,0,0,0,0,38,0,0,29719,0,0,0,0,0,125,0,234254,116,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,10,0,0,71,0,0,0,0,0,0,0,36,0,0,0,33,2,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,150,0,0,0,0,162,0,0,0,0,0,0
14,0,4195,0,0,0,1,496,20,726,1,1,0,0,39,0,0,0,0,0,0,855,19,0,0,0,1,317,0,0,143692,0,0,0,0,0,254,0,917964,256,1,1,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,5,48,0,0,0,0,0,0,0,0,3,31,422,0,43,0,0,729,0,0,1,0,1,5,0,70,0,0,0,245,15,0,0,0,0,0,5883,1,0,0,0,1,9,0,0,0,26,0,0,429,0,0,568,0,0,2,1,1292,0,0,0,0,0,0
15,0,89,0,0,0,1,22,0,149,0,7,0,0,0,0,0,0,0,0,0,229,5,0,0,0,142,25,0,0,31005,0,0,0,0,0,35,0,390128,488,0,107,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,47,0,1,0,0,73,0,0,0,0,0,0,0,29,0,0,0,47,3,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,72,0,2,0,0,340,0,0,0,0,0,0
16,1,43,0,0,0,0,129,5,174,35,11,0,0,19,0,0,0,0,0,0,16217,10,0,0,0,3,59,0,1,157134,0,0,0,0,0,125,0,227543,650,0,15,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138,0,2,0,0,0,0,0,1,3,5,526,0,11,0,0,240,0,0,0,0,0,2,0,35,0,0,0,111,4012,0,0,0,0,0,741,0,0,0,0,0,0,1,0,0,1,1,0,248,0,0,256,0,0,2,1,1416,0,0,0,0,0,0
17,0,48,0,0,2,1,82,1,232,1,31,0,0,5,0,0,0,0,0,0,29078,3,0,0,1,0,127,0,0,69993,0,0,0,0,0,64,0,164103,3923,0,68,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,8,1,2,0,6,0,0,0,0,0,0,9,1,86,0,515,0,0,362,0,0,0,0,0,0,0,10328,0,0,0,61,1526,0,0,0,0,1,1367,0,0,0,0,0,1,0,0,0,611,0,0,151,0,0,110,0,1,1,0,791,1,0,0,0,0,1
18,1,421,0,0,0,0,71,0,132,860,2070,0,0,0,0,0,0,0,0,0,1212,8,0,0,1,0,49,0,0,64141,0,0,0,0,0,45,0,158228,1905,0,2,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,64,42,6,0,0,392,0,0,0,0,0,0,0,78,0,0,1,56,5,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,136,1,18,0,0,208,0,0,0,0,0,0
19,0,0,0,0,0,0,334,3,1453,0,0,0,0,21,0,0,0,1,0,0,451530,19,0,0,1,0,469,0,0,75370,0,0,0,0,0,553,0,10394,627,1,23,3,0,0,0,0,0,0,0,4,1,7,0,0,0,0,0,7,11,33,0,82,0,0,0,0,0,1,9,68,1270,0,97,1,0,2223,0,0,0,0,0,4,8,1739,0,1,0,666,89,0,0,0,0,0,4615,1,0,0,1,0,50,0,0,0,0,5,0,1138,0,0,1578,0,0,6,1,467,0,0,0,0,0,0
20,0,0,0,0,7,0,405,0,294,0,0,0,8,61,0,0,0,0,0,1,137710,21,0,2,5,0,578,0,0,105441,9,2,0,0,4,205,1,59039,2884,0,1070,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,72,1,0,0,54,0,0,0,0,0,11,66,32,219,0,40,4,0,272,1,1,0,0,1,1,0,265,0,0,3,140,1277,3,0,0,12,0,3545,2,0,0,0,0,0,0,1,0,0,0,0,340,5,0,392,5,0,14,1,133,1,0,1,0,0,1
21,4,46,1,0,0,35,1126,67,3889,26,57,0,1,59,1,0,0,0,0,0,1084040,193,0,0,12,4,12394,0,4,178064,0,6,0,0,0,1093,0,94649,1090,3,7,7,0,0,3,0,0,1,0,0,0,30,2,0,0,0,0,9,37,290,0,5680,0,0,0,0,0,0,20,406,2056,3,247,1,0,3843,0,2,0,0,1,44,15,3061,0,2,0,2505,1109,2,0,0,0,0,123874,1,1,0,0,29,54,0,6,0,8,8,0,2463,6,0,2431,4,96,14,8,4707,0,0,0,0,0,1
22,6,0,12,0,9,34,491,0,707,1,23,0,0,78,0,0,1,2,0,1,269559,15,0,19,8,0,165,0,0,27766,8,1,0,0,7,120,4,993,325,2,3,1,5,0,1,0,0,0,0,6,0,2,0,0,0,0,0,50,5,5,0,8,0,0,0,0,0,12,84,71,297,0,202,7,0,597,0,6,2,1,3,25,1,162,0,9,1,243,84,16,0,0,0,0,15799,0,0,0,0,0,42,0,3,0,0,0,0,237,5,0,248,20,1,26,1,240,5,2,0,0,2,1
23,0,115,14,1,26,1,145,0,255,50,126,0,15,89,1,0,8,0,0,0,1552,33,0,2,10,1,34,0,0,481867,0,1,0,0,0,25,0,6837,294,0,7,0,0,0,575,19,0,0,0,1,0,1,0,0,14,0,0,68,4,28,173,33,9,0,0,0,7,12,160,51,121,0,71,11,0,124,0,2,0,0,2,4,10,3573,0,0,0,135,509,1,0,0,0,0,20901,0,0,2,0,1,23,0,3,3,0,16,0,43,0,0,103,0,663,9,0,82,0,0,0,0,0,4
24,8,4,3,0,1,16,181,0,1267,4,109,0,0,6,0,0,0,0,0,0,10681,339,0,0,0,0,318,0,0,1437260,0,0,0,0,0,190,0,673,612,1,1,0,0,0,410,0,0,0,0,0,14,4,3,0,0,0,0,0,123,94,91,20,0,0,1,0,0,0,14,485,330,0,52,0,0,1786,0,0,0,6,83,97,193,8223,0,3,0,515,846,17,3,0,0,0,31518,0,0,0,0,47,23,0,0,51,29,9,121,343,0,0,455,2,12178,2,2,208,0,0,0,0,0,0
25,5,0,0,0,0,0,20,0,88,1,943,0,0,0,0,0,0,0,0,0,73,2,0,0,3,0,8374,0,379,2379,0,157,0,0,0,16,0,11,0,0,0,0,1,0,12902,0,0,0,0,0,0,0,0,0,0,0,0,0,759,7,269,0,0,0,0,0,0,0,0,5,27,0,10,0,0,52,0,0,0,0,0,34,24,891,0,0,0,22,2321,0,0,0,0,0,69,0,0,0,0,254,496,0,0,62,0,0,22,21,6,0,29,0,810,0,0,20,0,0,0,0,0,0
26,15,3,0,2,0,51,171,0,487,6,442,0,0,13,0,0,0,8,0,0,432,165,0,0,0,0,207,0,0,354131,0,3,0,0,0,30,0,45603,534,8,2,0,0,0,3693,0,0,0,0,0,0,13,0,0,0,0,0,0,51,152,10201,2,0,0,0,0,0,0,5,241,136,0,10,0,0,152,0,0,0,0,4,38,49,10877,0,2,0,256,2178,0,0,0,0,0,4184,0,2,0,0,38,51,0,0,372,0,7,413,92,14,0,166,0,1814,2,0,375,0,0,0,0,0,0
27,4,0,0,0,0,42,39,6,423,9,97,0,0,0,0,0,4,0,0,0,413,58,0,0,0,0,45,0,0,981251,0,0,0,0,0,12,0,2148,971,2,0,0,0,0,224,0,0,1,0,0,0,4,0,0,0,0,0,0,94,8,118,5,0,0,0,0,0,0,2,398,57,0,4,0,0,146,0,0,0,0,1,7,25,1711,0,0,0,87,490,0,0,0,0,0,8576,0,1,0,0,20,41,1,0,14,16,7,0,21,0,0,81,0,1896,0,3,194,0,0,0,0,0,0
28,0,0,0,0,0,0,14,0,94,0,16,0,0,0,0,0,0,0,0,0,3403,14,0,0,0,0,96,0,0,447070,0,0,0,0,0,8,0,78,194,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,10,0,0,0,0,0,0,0,0,740,4,0,1,0,0,43,0,0,0,0,0,15,7,751,0,0,0,45,23,0,0,0,0,0,1910,0,0,0,0,42,1,0,0,0,2,0,0,11,1,0,6,0,11,1,0,90,0,0,0,0,0,0
29,0,0,0,0,0,0,21,0,237,0,3,0,0,0,0,0,0,0,0,0,5251,221,0,0,6,0,27,0,0,351870,0,0,0,0,0,0,0,68,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,858,0,0,0,0,0,0,0,0,0,342,25,0,3,0,0,45,0,0,0,0,0,5,6,383,0,0,0,98,6371,0,0,0,0,0,154670,0,0,0,0,255,4,0,0,0,0,0,0,26,0,0,26,0,0,0,0,312,0,0,0,0,0,0
