district_id,population,males,females,literates,literate_males,literate_females,working,working_males,working_females,non_working,non_working_males,non_working_females
1,870354,474190,396164,439654,282823,156831,229064,190899,38165,641290,283291,357999
2,753745,398041,355704,335649,207741,127908,214866,162578,52288,538879,235463,303416
3,133487,78971,54516,93770,62834,30936,75079,53265,21814,58408,25706,32702
4,140802,77785,63017,86236,56301,29935,51873,39839,12034,88929,37946,50983
5,476835,251899,224936,261724,163333,98391,161393,117677,43716,315442,134222,181220
6,642415,345351,297064,364109,224469,139640,290912,184752,106160,351503,160599,190904
7,616435,326109,290326,389204,228499,160705,200431,161548,38883,416004,164561,251443
8,1008039,534733,473306,545149,337170,207979,304200,249581,54619,703839,285152,418687
9,392232,207680,184552,185979,117058,68921,149317,101380,47937,242915,106300,136615
10,1236829,651124,585705,748584,431746,316838,407188,333151,74037,829641,317973,511668
11,297446,158720,138726,143276,90581,52695,100890,73305,27585,196556,85415,111141
12,560440,293064,267376,293958,178326,115632,188420,138428,49992,372020,154636,217384
13,266215,136480,129735,136500,80355,56145,87721,63931,23790,178494,72549,105945
14,1078692,559767,518925,545532,324417,221115,389684,244032,145652,689008,315735,373273
15,424483,217620,206863,209085,125052,84033,159990,102317,57673,264493,115303,149190
16,409936,213641,196295,219083,138620,80463,151912,101144,50768,258024,112497,145527
17,283713,149132,134581,124065,82938,41127,87212,68476,18736,196501,80656,115845
18,230696,120165,110531,107506,68700,38806,82974,56779,26195,147722,63386,84336
19,554985,296784,258201,322354,197543,124811,243672,163845,79827,311313,132939,178374
20,314667,166461,148206,150542,93937,56605,144767,88755,56012,169900,77706,92194
21,1529958,813821,716137,1137135,641916,495219,508622,417456,91166,1021336,396365,624971
22,318898,169124,149774,228139,130312,97827,92526,81952,10574,226372,87172,139200
23,519080,261320,257760,323842,186064,137778,294035,158791,135244,225045,102529,122516
24,1510075,750591,759484,1152640,606443,546197,675170,403756,271414,834905,346835,488070
25,31564,16588,14976,21845,12897,8948,19295,10763,8532,12269,5825,6444
26,437903,225452,212451,307672,174550,133122,269084,148829,120255,168819,76623,92196
27,999777,498065,501712,723747,393669,330078,572671,297464,275207,427106,200601,226505
28,454768,217070,237698,358091,180555,177536,241931,118724,123207,212837,98346,114491
29,521173,263692,257481,399715,213281,186434,215346,141612,73734,305827,122080,183747
30,381956,192764,189192,287620,155599,132021,205871,111543,94328,176085,81221,94864
31,580320,308754,271566,428578,244372,184206,298737,190001,108736,281583,118753,162830
32,529855,276289,253566,362645,205617,157028,280083,169399,110684,249772,106890,142882
33,814010,425039,388971,612642,342846,269796,430926,258628,172298,383084,166411,216673
34,84121,46249,37872,60699,36697,24002,56273,33863,22410,27848,12386,15462
35,2298323,1212617,1085706,1634719,907660,727059,757138,637652,119486,1541185,574965,966220
36,815168,426311,388857,576567,316254,260313,284165,235562,48603,531003,190749,340254
37,2193590,1145211,1048379,1622537,882581,739956,774472,639484,134988,1419118,505727,913391
38,1586625,809057,777568,1199699,637927,561772,499822,412506,87316,1086803,396551,690252
39,612310,313291,299019,438459,239155,199304,204329,170252,34077,407981,143039,264942
40,600163,320795,279368,426033,238696,187337,214783,182777,32006,385380,138018,247362
41,3498739,1867816,1630923,2560225,1428348,1131877,1284822,1053600,231222,2213917,814216,1399701
42,995746,525920,469826,627889,348549,279340,359172,292379,66793,636574,233541,403033
43,2029074,1071637,957437,1227511,707070,520441,756695,596406,160289,1272379,475231,797148
44,901896,475622,426274,524848,300401,224447,335326,272699,62627,566570,202923,363647
45,617508,326671,290837,381285,215767,165518,221555,185049,36506,395953,141622,254331
46,1388525,743197,645328,844868,488261,356607,549986,432988,116998,838539,310209,528330
47,769751,408732,361019,423560,244037,179523,328512,230739,97773,441239,177993,263246
48,1895686,1002522,893164,1266791,711052,555739,660267,549661,110606,1235419,452861,782558
49,2490656,1318408,1172248,1684770,932981,751789,917856,735195,182661,1572800,583213,989587
50,1119627,589369,530258,666162,376427,289735,380702,313639,67063,738925,275730,463195
51,684627,357485,327142,502731,278534,224197,233676,186910,46766,450951,170575,280376
52,994628,529253,465375,736575,409944,326631,355995,283367,72628,638633,245886,392747
53,1655169,878029,777140,1002077,570413,431664,568758,485129,83629,1086411,392900,693511
54,595527,317522,278005,359831,201999,157832,209331,178163,31168,386196,139359,246837
55,1055450,580663,474787,805438,465346,340092,404136,328159,75977,651314,252504,398810
56,330086,168597,161489,215126,128237,86889,157276,84265,73011,172810,84332,88478
57,391605,193991,197614,280556,155395,125161,180940,93832,87108,210665,100159,110506
58,242285,114589,127696,170933,91803,79130,113032,52339,60693,129253,62250,67003
59,618931,297986,320945,407994,227406,180588,280442,140821,139621,338489,157165,181324
60,1696694,892199,804495,1259506,702216,557290,582768,458834,123934,1113926,433365,680561
61,687271,326829,360442,494889,262148,232741,274152,147373,126779,413119,179456,233663
62,483439,239306,244133,345550,189623,155927,216490,113539,102951,266949,125767,141182
63,259898,124326,135572,179483,97546,81937,123638,58708,64930,136260,65618,70642
64,622506,291081,331425,436497,231604,204893,298211,142460,155751,324295,148621,175674
65,259648,131125,128523,177726,102015,75711,99566,60427,39139,160082,70698,89384
66,954605,493666,460939,696500,385779,310721,376181,256935,119246,578424,236731,341693
67,1648902,858783,790119,1037839,598525,439314,591458,444578,146880,1057444,414205,643239
68,1890422,1005295,885127,1178354,691411,486943,578121,497810,80311,1312301,507485,804816
69,561293,299679,261614,405318,229862,175456,211479,164865,46614,349814,134814,215000
70,1128350,598703,529647,818025,461288,356737,372139,320120,52019,756211,278583,477628
71,1214205,646718,567487,832457,474793,357664,389233,342343,46890,824972,304375,520597
72,964655,510976,453679,646893,370828,276065,336780,268556,68224,627875,242420,385455
73,1074304,571003,503301,646529,385782,260747,373899,292696,81203,700405,278307,422098
74,1505324,797712,707612,978013,564516,413497,516062,411646,104416,989262,386066,603196
75,1205437,646857,558580,786599,464136,322463,412318,328667,83651,793119,318190,474929
76,1450001,781299,668702,998316,589881,408435,523179,391085,132094,926822,390214,536608
77,1334152,713006,621146,832758,502049,330709,523422,368277,155145,810730,344729,466001
78,942011,495360,446651,557578,327471,230107,369083,263498,105585,572928,231862,341066
79,1295189,682582,612607,782897,456968,325929,502003,369462,132541,793186,313120,480066
80,1743931,931562,812369,1114311,670200,444111,691621,488321,203300,1052310,443241,609069
81,1634445,866672,767773,1069871,643158,426713,623006,430678,192328,1011439,435994,575445
82,1061204,568479,492725,747582,436025,311557,345967,272646,73321,715237,295833,419404
83,958405,514667,443738,676091,399480,276611,326534,250020,76514,631871,264647,367224
84,922088,486665,435423,630255,380440,249815,338584,232935,105649,583504,253730,329774
85,900332,474335,425997,636947,375453,261494,337727,235326,102401,562605,239009,323596
86,1514432,816690,697742,1111116,638666,472450,544716,432456,112260,969716,384234,585482
87,1089263,571162,518101,454897,308435,146462,289964,224642,65322,799299,346520,452779
88,1809733,966110,843623,1272739,734940,537799,579229,476933,102296,1230504,489177,741327
89,1042708,554497,488211,599796,379696,220100,309563,241464,68099,733145,313033,420112
90,3656539,1960922,1695617,2707855,1541952,1165903,1188545,1022419,166126,2467994,938503,1529491
91,887978,475002,412976,681517,381615,299902,296446,257575,38871,591532,217427,374105
92,2241624,1188425,1053199,1611588,912481,699107,661386,594353,67033,1580238,594072,986166
93,1709346,907500,801846,1352998,748382,604616,579692,486951,92741,1129654,420549,709105
94,142004,77942,64062,114179,65678,48501,59541,46940,12601,82463,31002,51461
95,582320,307821,274499,442360,240518,201842,207374,177621,29753,374946,130200,244746
96,2543243,1356240,1187003,1961179,1093933,867246,874320,732598,141722,1668923,623642,1045281
97,2292958,1246046,1046912,1787689,1025261,762428,795352,667977,127375,1497606,578069,919537
98,2731929,1467428,1264501,2078402,1185036,893366,924393,775592,148801,1807536,691836,1115700
99,1969168,1043340,925828,1193343,710908,482435,912672,596320,316352,1056496,447020,609476
100,1774692,931184,843508,1034136,624281,409855,835260,512802,322458,939432,418382,521050
101,2363937,1240801,1123136,1278801,782399,496402,986208,640572,345636,1377729,600229,777500
102,2039547,1051446,988101,1149269,696729,452540,902829,541404,361425,1136718,510042,626676
103,2137045,1095896,1041149,1370360,815834,554526,894649,541392,353257,1242396,554504,687892
104,3674179,1939026,1735153,2182476,1359829,822647,1708542,994171,714371,1965637,944855,1020782
