district_id,hindu,muslim,christian,sikh,buddhist,jain,other,none
23,479782,32455,1559,2745,1740,57,14,728
24,1461140,19797,3023,8929,14511,194,208,2273
25,11649,74,212,35,19572,3,1,18
26,415669,2974,1568,1396,15377,94,83,742
27,981412,9460,876,4081,2628,43,86,1191
28,449412,3711,243,591,95,293,9,414
29,480138,14275,390,26009,56,70,10,225
30,371973,6984,236,2387,113,10,7,246
31,548579,14678,1452,13926,574,591,110,410
32,476830,33215,577,15501,2645,236,86,765
33,791449,11810,2025,4047,3262,185,197,1035
34,64732,448,485,249,18086,29,45,47
69,490702,23451,2583,40951,1008,1626,90,882
70,955096,22143,3705,138202,381,4845,110,3868
71,984929,138569,3646,84455,161,1555,126,764
72,805175,15970,1943,140395,214,375,106,477
73,974520,8232,1769,87558,265,351,70,1539
74,1341002,31650,2049,126207,532,1516,49,2319
75,1083936,86622,2261,25064,289,4647,99,2519
76,1390149,45100,1405,4484,336,6033,29,2465
77,1276669,23016,889,29103,172,2594,56,1653
78,779243,8360,996,150969,171,1172,530,570
79,940255,9524,2186,338962,370,2256,624,1012
80,1701061,21650,1945,12270,334,3620,33,3018
81,1611031,15515,873,2401,254,1016,26,3329
82,1043887,8185,732,3916,200,3491,24,769
83,945693,8247,734,1042,105,645,22,1917
84,913251,5660,301,1737,75,644,15,405
85,889133,5713,701,1804,202,1525,12,1242
86,1408801,70842,9725,15097,944,7451,254,1318
87,221846,862647,1235,592,516,1453,4,970
88,1588407,161680,9743,34572,640,4883,249,9559
89,826342,208566,932,3971,345,915,20,1617
532,2399901,275970,15422,1377,25510,617,322,22120
533,2123426,391596,19653,2357,1847,542,146,11768
534,3491139,244723,24979,2086,332,312,115,12583
535,2637313,342449,34301,1309,554,457,217,16688
536,2046051,1713405,87522,11446,1268,19560,1929,62142
537,4458858,617518,144037,8062,2041,3536,1629,61060
538,3673456,334172,21345,658,290,388,267,22452
539,3249231,188646,35025,937,241,250,132,14347
540,3273755,197333,31377,1453,253,569,126,7710
